Acllacancha;-14.60000;-74.28333;PPL;PE;05;;America/Lima
Acllahuasi;-13.00000;-74.18333;PPL;PE;05;;America/Lima
Acmanupampa;-15.28333;-70.16667;PPL;PE;21;;America/Lima
Acno;-12.46667;-75.59111;PPL;PE;15;;America/Lima
Aco;-11.95707;-75.36996;PPL;PE;12;;America/Lima
Aco;-9.36917;-77.56333;PPL;PE;02;;America/Lima
Aco;-15.86278;-72.63250;PPL;PE;04;;America/Lima
Aco;-15.70333;-72.48333;PPL;PE;04;;America/Lima
Aco;-10.49718;-77.24149;PPL;PE;02;;America/Lima
Aco;-8.53333;-77.88333;PPL;PE;02;;America/Lima
Aco;-15.33833;-71.14250;PPL;PE;04;;America/Lima
Aco;-11.43111;-76.81222;PPL;PE;15;;America/Lima
Aco Pucro;-15.15722;-71.27333;PPL;PE;04;;America/Lima
Acobamba;-9.14278;-77.73694;PPL;PE;02;;America/Lima
Acobamba;-14.25000;-72.20000;PPL;PE;03;;America/Lima
Acobamba;-12.86667;-74.56667;PPL;PE;09;;America/Lima
Acobamba;-11.35278;-75.65861;PPL;PE;12;;America/Lima
Acobamba;-13.47861;-72.46667;PPL;PE;08;;America/Lima
Acobamba;-11.17722;-76.67778;PPL;PE;15;;America/Lima
Acobamba;-10.45111;-76.18611;PPL;PE;19;;America/Lima
Acobamba;-10.26528;-75.85056;PPL;PE;10;;America/Lima
Acobamba;-13.45000;-72.76667;PPL;PE;08;;America/Lima
Acobamba;-13.08333;-71.80000;PPL;PE;08;;America/Lima
Acobamba;-9.70625;-76.67613;PPL;PE;10;;America/Lima
Acobamba;-8.95000;-77.01667;PPL;PE;10;;America/Lima
Acobamba;-10.26778;-76.26833;PPL;PE;10;;America/Lima
Acobamba;-9.99224;-76.43270;PPL;PE;10;;America/Lima
Acobamba;-13.30417;-73.24694;PPL;PE;08;;America/Lima
Acobamba;-11.55000;-76.49889;PPL;PE;15;;America/Lima
Acobamba;-9.05811;-76.92118;PPL;PE;10;;America/Lima
Acobambilla;-9.97357;-76.27523;PPL;PE;10;;America/Lima
Acobambilla;-12.61667;-74.98333;PPL;PE;09;;America/Lima
Acobambilla;-10.18889;-76.26056;PPL;PE;10;;America/Lima
Acobambilla;-12.65000;-75.38333;PPL;PE;09;;America/Lima
Acochaca;-11.43639;-76.61194;PPL;PE;15;;America/Lima
Acochaca;-15.89833;-71.12694;PPL;PE;04;;America/Lima
Acochacra;-13.18333;-75.83333;PPL;PE;11;;America/Lima
Acochupa;-15.60000;-70.25000;PPL;PE;21;;America/Lima
Acocita;-17.36111;-69.64972;PPL;PE;23;;America/Lima
Acococha;-11.01565;-76.40739;PPL;PE;19;;America/Lima
Acococha;-10.17889;-76.39472;PPL;PE;10;;America/Lima
Acocollo;-14.80444;-71.82611;PPL;PE;08;;America/Lima
Acocollo;-15.30389;-70.98639;PPL;PE;21;;America/Lima
Acocollocucho;-15.58028;-70.80944;PPL;PE;21;;America/Lima
Acocoto;-10.78333;-77.33333;PPL;PE;15;;America/Lima
Acocra;-12.16667;-75.00000;PPL;PE;09;;America/Lima
Acocra;-15.82056;-72.65778;PPL;PE;04;;America/Lima
Acocro;-13.21778;-74.04333;PPL;PE;05;;America/Lima
Acocunca;-15.41667;-69.41667;PPL;PE;21;;America/Lima
Acohuarma;-12.78333;-74.98333;PPL;PE;09;;America/Lima
Acohuito;-15.26944;-71.38472;PPL;PE;04;;America/Lima
Acohuito;-15.79694;-71.26833;PPL;PE;04;;America/Lima
Acoicha;-13.97278;-73.21889;PPL;PE;03;;America/Lima
Acoita;-15.83611;-70.81861;PPL;PE;21;;America/Lima
Acola;-14.66667;-74.20000;PPL;PE;05;;America/Lima
Acolla;-11.73193;-75.54634;PPL;PE;12;;America/Lima
Acollan;-9.59039;-76.79623;PPL;PE;10;;America/Lima
Acomachay;-11.36556;-76.60583;PPL;PE;15;;America/Lima
Acomachay;-11.33028;-76.61667;PPL;PE;15;;America/Lima
Acomani;-15.84389;-71.23778;PPL;PE;04;;America/Lima
Acomanta;-11.78322;-75.57834;PPL;PE;12;;America/Lima
Acomayo;-7.09527;-76.65398;PPL;PE;22;;America/Lima
Acomayo;-13.91667;-71.68111;PPL;PE;08;;America/Lima
Acomayo;-9.80105;-76.07194;PPL;PE;10;;America/Lima
